Value,Value Counts
"4,394,000",2
"169,480,000",2
"234,000",2
873,2
371,2
"189,000",2
"2,982",2
"13,687",2
"1,638,000",2
"1,335,000",2
"114,210,000",2
"4,700",2
"991,000",2
"2,195,000",2
"70,507,000",2
"5,296,000",2
"64,503,000",2
"37,825",2
"432,000",2
"16,492,000",2
"17,220,000",2
"2,961,000",2
"28,136,000",2
"59,340,000",2
"3,550,000",2
"80,334,000",2
"93,446,200",2
"92,444,690",2
"9,744,000",2
"376,230",2
404,2
"6,500",2
"1,552",2
650,2
"46,940,000",2
"1,230",2
"263,520,000",2
"7,600,000",2
"162,800,000",2
"1,270",2
"86,165,520",2
"103,000",2
"33,302,460",2
14.9,2
"1,096,000",2
292,2
"172,000",2
452,2
"452,000",2
"37,230,650",2
"1,398,000",2
"1,675,000",2
3.79,2
"2,050,400",2
1.51,2
"117,000",2
"52,697,000",2
"2,106,900",2
"173,416",2
78.1,2
"129,000",2
"4,308,000",2
827,2
"2,305,400",2
"4,200,000",2
93.6,2
310,2
"1,334",2
"61,050,000",2
163,2
"2,048",2
"103,250,000",2
233,2
"15,453,870",2
"79,100",2
"2,784,000",2
"2,381,000",2
"52,413,000",2
"91,000",2
63.9,2
"2,111,000",2
"3,588,000",2
"2,051",2
"86,397,900",2
"2,188,000",2
"1,840",2
"855,000",2
"14,520,000",2
"365,534,000",2
"1,528,000",2
"451,000",2
"458,000",2
"64,540,000",2
"1,143,190",2
"9,217,239,000",2
"2,008,000",2
24.3,2
"45,300",2
"247,000",2
"86,700,000",2
"51,889",2
240,2
"12,845",2
"70,340,000",2
"18,925,000",2
"85,800,000",2
"69,988,510",2
"2,084,900",2
"983,000",2
"2,342",2
228,2
412,2
30.3,2
"2,858,000",2
"617,000",2
"9,910",2
395,2
"72,538,000",2
891,2
254,2
"12,870,000",2
2.21,2
282,2
38.7,2
"2,090,000",2
"705,000",2
"9,160",2
"67,460,000",2
"174,000",2
46.2,2
"898,700",2
267,2
120,2
"1,936,740",2
"1,575",2
47.4,2
"2,396",2
687,2
"76,732,000",2
"948,000",2
2.42,2
"2,230,000",2
183,2
"1,109,673",2
"3,244,000",2
2.41,2
"250,263,000",2
"14,688,000",2
"685,000",2
319,2
"5,300",2
26.3,2
145,2
"5,000,000",2
"1,995,000",2
"93,200",2
"2,213,550",2
"8,730,000",2
607,2
"1,128",2
"1,150",2
"52,695",2
"2,035,000",2
40.1,2
"161,529,000",2
29.3,2
27.4,2
10.9,2
"1,360",2
"1,458,000",2
"1,070",2
"464,000",2
"8,133,016",2
"4,694",2
"20,300",2
"2,610,800",2
"78,060",2
53.5,2
"1,408,000",2
34.6,2
"9,830",2
"3,255,170",2
334,2
"72,300",2
"988,404",2
"15,500",2
"65,600",2
"2,127,400",2
68.8,2
58.4,2
"2,065,000",2
"1,170",2
"80,901,690",2
"1,751,000",2
"3,042,000",2
"107,000",2
"28,819,100",2
"427,600",2
"25,020,000",2
"7,455,000",2
322,2
"104,411,000",2
13.6,2
"1,295,000",2
"2,434,000",2
"3,199,840",2
55.9,2
47.2,2
"2,484,000",2
"82,400",2
"84,280,000",2
"9,526",2
"3,632",2
2.19,2
"3,740,000",2
"1,133",2
"169,907",2
57.2,2
"2,837",2
"23,265",2
"254,000",2
216,2
"7,387",2
"8,000,000",2
39.6,2
193,2
"9,822",2
"1,187,000",2
"1,327",2
"356,440,000",2
296,2
"2,135,000",2
"48,983,000",2
"5,004,000",2
981,2
"59,200,000",2
"1,019,000",2
"7,100",2
"51,330",2
"31,616,820",2
"4,590,000",2
"3,494,000",2
"1,640,120",2
"11,600,000",2
359,2
"1,831,000",2
"10,330",2
"7,950",2
22.2,2
87.6,2
"905,000",2
"55,755,000",2
"1,867,000",2
"55,470,000",2
"524,000",2
169,2
"133,897",2
"1,080",2
"7,150,000",2
24.8,2
"30,599",2
"4,885,000",2
"61,015,000",2
"53,658,200",2
"19,228",2
"83,600",2
652,2
"55,500,000",2
"76,289,500",2
"1,215,000",2
"21,700",2
"4,504",2
"52,527,000",2
23.7,2
"2,376,000",2
"85,500,000",2
"523,000",2
272,2
"18,789,000",2
"657,900",2
16.94,2
"702,000",2
43.9,2
"78,352,380",2
378,2
506,2
850,2
"1,166",2
"5,828",2
"69,300",2
"2,910,000",2
"19,750,000",2
"16,701",2
"1,813,190",2
784,2
"1,598,000",2
"1,265,000",2
"22,973,970",2
882,2
"2,857,500",2
"70,300,000",2
"1,642,000",2
"5,026",2
"623,000",2
"373,200",2
"255,000",2
"55,440,000",2
"1,902,020",2
"49,116,000",2
36.7,2
"12,278",2
30.2,2
60.6,2
"2,136,000",2
"29,954,800",2
"1,947,000",2
"12,413",2
573,2
"89,700,000",2
"3,051,300",2
"8,300,000",2
"17,511,710",2
"75,264,000",2
"9,150",2
"20,576",2
"83,300",2
"5,775,000",2
2.92,2
"315,315,000",2
7.8,2
"1,338,730",2
"1,640,000",2
"8,651",2
"60,548,000",2
"235,760",2
"69,670,000",2
"333,034,000",2
