type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,CO,2017,32.58,10.88,20.70,44.97,61.10,16.33,83.46,47.15,45.45,18.88,7.23,5.13
prcp,CO,2018,12.15,15.94,14.35,25.96,33.37,23.07,56.11,28.77,16.83,50.76,13.99,10.42
prcp,CO,2019,22.13,21.18,46.40,25.42,57.11,45.32,51.33,39.20,14.34,19.26,19.31,16.81
prcp,CO,2020,8.45,21.23,20.49,15.27,23.94,26.45,56.55,19.91,23.23,14.76,13.67,14.57
prcp,CO,2021,10.35,13.83,,,,,,,,,,
prcp,CT,1990,125.53,83.65,72.75,122.50,170.58,53.35,79.23,181.23,57.80,205.38,67.67,139.40
prcp,CT,1991,80.38,52.80,132.47,81.12,128.65,64.60,72.65,217.35,151.68,61.80,93.98,90.65
prcp,CT,1992,66.10,53.65,99.85,71.67,57.65,144.55,102.05,155.35,111.50,55.00,132.88,152.70
prcp,CT,1993,68.62,75.00,172.20,118.58,25.25,69.95,61.60,65.12,168.28,97.20,95.40,137.95
prcp,CT,1994,140.35,74.53,162.73,70.67,86.75,88.33,105.35,164.78,99.78,32.68,119.20,118.83
prcp,CT,1995,99.12,79.08,69.05,71.10,89.53,44.43,88.35,41.25,94.43,227.03,116.53,62.75
prcp,CT,1996,161.15,72.70,81.98,183.33,98.65,85.43,187.75,59.93,167.80,180.95,89.73,190.10
prcp,CT,1997,96.48,56.03,124.53,102.78,89.53,58.53,74.95,116.98,32.05,49.40,154.35,95.25
prcp,CT,1998,121.30,95.23,145.33,120.58,138.70,201.68,84.62,56.05,70.35,110.70,57.23,31.43
prcp,CT,1999,181.83,97.33,124.83,40.45,121.90,25.90,73.65,95.45,253.60,107.00,75.38,75.67
prcp,CT,2000,88.85,60.40,108.00,124.68,118.03,186.62,172.15,104.38,122.25,28.38,92.43,109.12
prcp,CT,2001,65.88,57.55,186.18,43.12,88.58,169.28,54.88,118.62,111.88,31.85,27.83,62.98
prcp,CT,2002,52.65,36.90,108.40,103.70,132.30,130.55,56.28,82.45,145.28,93.00,135.22,114.53
prcp,CT,2003,61.80,94.65,107.28,80.35,123.35,161.60,84.85,107.78,165.53,127.60,80.65,130.38
prcp,CT,2004,46.03,55.00,76.70,156.73,101.68,64.48,131.78,162.23,217.78,51.50,102.35,98.73
prcp,CT,2005,118.50,64.42,113.75,134.12,65.17,95.43,70.67,55.78,53.10,384.33,130.65,104.25
prcp,CT,2006,142.53,53.25,18.05,107.90,158.75,252.45,82.90,138.93,101.25,171.05,153.80,50.53
prcp,CT,2007,91.23,45.78,137.80,218.05,44.25,96.08,106.60,60.60,46.80,95.00,84.55,126.93
prcp,CT,2008,63.40,203.20,140.53,95.50,77.38,143.00,110.00,73.15,227.62,71.15,83.93,168.00
prcp,CT,2009,68.20,40.93,63.25,110.73,109.60,181.30,209.12,110.50,54.88,132.65,75.20,123.33
prcp,CT,2010,67.35,113.93,268.80,48.55,72.38,90.05,104.98,88.50,74.90,140.97,81.10,102.38
prcp,CT,2011,77.90,95.05,122.25,142.53,125.80,146.80,58.30,327.88,205.58,115.62,93.48,106.00
prcp,CT,2012,72.10,28.35,31.08,76.45,109.88,99.03,102.65,106.20,158.33,107.33,27.03,128.83
prcp,CT,2013,48.55,88.28,59.75,45.28,113.58,270.18,97.48,108.90,81.75,28.90,95.28,88.40
prcp,CT,2014,79.00,84.00,92.08,106.60,122.45,87.90,120.98,70.17,35.50,116.45,103.62,105.55
prcp,CT,2015,79.20,46.08,89.33,92.23,32.55,157.95,70.35,60.98,100.68,78.73,60.48,99.40
prcp,CT,2016,62.83,112.48,52.33,79.55,96.08,32.25,71.28,82.58,47.70,111.08,83.43,82.75
prcp,CT,2017,91.00,56.60,97.80,126.20,144.20,99.05,105.73,79.03,62.20,189.48,37.00,53.05
prcp,CT,2018,98.28,136.95,98.80,130.93,67.28,91.40,126.10,149.95,205.03,119.28,193.83,111.60
prcp,CT,2019,133.80,65.53,78.43,166.60,118.85,121.12,131.93,116.55,38.30,187.88,73.60,150.68
prcp,CT,2020,46.45,79.53,97.75,119.58,59.08,49.28,55.12,51.18,51.30,99.10,82.75,156.35
prcp,CT,2021,50.15,75.40,,,,,,,,,,
prcp,DE,1990,98.44,43.10,83.50,99.12,218.16,71.24,135.76,138.38,66.10,66.58,39.82,116.88
prcp,DE,1991,121.32,31.96,134.44,82.86,41.48,100.32,135.82,114.10,121.10,52.22,30.28,122.38
prcp,DE,1992,34.08,68.88,110.44,44.48,114.34,77.02,94.38,156.48,135.58,38.98,94.68,104.40
prcp,DE,1993,81.58,69.54,174.00,127.60,70.36,79.86,63.38,97.64,130.26,90.32,87.14,119.90
prcp,DE,1994,128.34,110.32,216.50,84.54,100.74,55.56,191.64,126.04,97.26,21.94,88.32,49.68
prcp,DE,1995,92.72,63.58,63.46,54.66,114.62,45.64,85.82,44.64,112.46,173.36,116.74,59.52
prcp,DE,1996,133.32,58.14,110.34,135.40,141.22,149.50,159.10,109.94,136.82,134.80,62.32,214.68
prcp,DE,1997,68.20,72.04,138.74,88.62,82.60,77.96,64.50,137.88,58.26,64.18,150.30,73.32
prcp,DE,1998,148.68,126.54,138.42,72.76,116.06,100.56,50.06,93.82,55.42,65.64,33.20,50.94
prcp,DE,1999,163.40,77.44,127.98,75.94,52.36,55.74,47.82,138.16,307.56,92.20,55.30,72.30
prcp,DE,2000,83.50,55.88,200.84,95.52,97.24,126.76,144.78,118.46,158.36,8.36,62.24,90.04
prcp,DE,2001,76.86,79.02,143.76,46.34,109.74,140.16,112.98,128.36,63.70,23.64,20.22,55.12
prcp,DE,2002,67.80,14.42,116.06,101.80,103.16,83.14,66.68,73.98,153.04,198.78,142.52,121.68
prcp,DE,2003,48.16,171.88,97.80,80.98,118.82,192.46,109.78,154.38,174.82,111.22,122.90,138.34
prcp,DE,2004,54.92,58.24,72.06,146.08,80.44,123.16,190.52,136.12,145.96,60.56,122.90,75.74
prcp,DE,2005,109.96,54.48,97.60,125.16,94.22,97.50,120.78,69.92,12.62,214.96,90.40,99.68
prcp,DE,2006,95.50,35.36,12.50,93.36,44.38,252.02,145.20,39.54,179.60,144.00,138.48,47.50
